year,overall,round,team,player,position,school,level
2020,20,1,Milwaukee Brewers,Garrett Mitchell,OF,"University of California, Los Angeles",College
2020,21,1,St. Louis Cardinals,Jordan Walker,3B,Decatur HS,HS
2020,22,1,Washington Nationals,Cade Cavalli,P,University of Oklahoma,College
2020,23,1,Cleveland Guardians,Carson Tucker,SS,Mountain Pointe HS,HS
2020,24,1,Tampa Bay Rays,Nick Bitsko,P,Central Bucks HS East,HS
2020,25,1,Atlanta Braves,Jared Shuster,P,Wake Forest University,College
2020,26,1,Athletics,Tyler Soderstrom,C,Turlock HS,HS
2020,27,1,Minnesota Twins,Aaron Sabato,1B,University of North Carolina at Chapel Hill,College
2020,28,1,New York Yankees,Austin Wells,C,University of Arizona,College
2020,29,1,Los Angeles Dodgers,Bobby Miller,P,University of Louisville,College
2020,30,1,Baltimore Orioles,Jordan Westburg,SS,Mississippi State University,College
2020,31,1,Pittsburgh Pirates,Carmen Mlodzinski,P,University of South Carolina,College
2020,32,1,Kansas City Royals,Nick Loftin,SS,Baylor University,College
2020,33,1,Arizona Diamondbacks,Slade Cecconi,P,University of Miami,College
2020,34,1,San Diego Padres,Justin Lange,P,Llano HS,HS
2020,35,1,Colorado Rockies,Drew Romo,C,The Woodlands HS,HS
2020,36,1,Cleveland Guardians,Tanner Burns,P,Auburn University,College
2020,37,1,Tampa Bay Rays,Alika Williams,SS,Arizona State University,College
2021,1,1,Pittsburgh Pirates,Henry Davis,C,University of Louisville,College
2021,2,1,Texas Rangers,Jack Leiter,P,Vanderbilt University,College
2021,3,1,Detroit Tigers,Jackson Jobe,P,Heritage Hall School,HS
2021,4,1,Boston Red Sox,Marcelo Mayer,SS,Eastlake HS,HS
2021,5,1,Baltimore Orioles,Colton Cowser,OF,Sam Houston State University,College
2021,6,1,Arizona Diamondbacks,Jordan Lawlar,SS,Jesuit College Preparatory School of Dallas,HS
2021,7,1,Kansas City Royals,Frank Mozzicato,P,East Catholic HS,HS
2021,8,1,Colorado Rockies,Benny Montgomery,OF,Red Land HS,HS
2021,9,1,Los Angeles Angels,Sam Bachman,P,Miami University of Ohio,College
2021,10,1,New York Mets,Kumar Rocker,P,Vanderbilt University,College
2021,11,1,Washington Nationals,Brady House,SS,Winder-Barrow HS,HS
2021,12,1,Seattle Mariners,Harry Ford,C,North Cobb HS,HS
2021,13,1,Philadelphia Phillies,Andrew Painter,P,Calvary Christian Academy,HS
2021,14,1,San Francisco Giants,Will Bednar,P,Mississippi State University,College
2021,15,1,Milwaukee Brewers,Sal Frelick,OF,Boston College,College
2021,16,1,Miami Marlins,Kahlil Watson,SS,Wake Forest HS,HS
2021,17,1,Cincinnati Reds,Matt McLain,SS,"University of California, Los Angeles",College
2021,18,1,St. Louis Cardinals,Michael McGreevy,P,"University of California, Santa Barbara",College
2021,19,1,Toronto Blue Jays,Gunnar Hoglund,P,University of Mississippi,College
2021,20,1,New York Yankees,Trey Sweeney,SS,Eastern Illinois University,College
2021,21,1,Chicago Cubs,Jordan Wicks,P,Kansas State University,College
2021,22,1,Chicago White Sox,Colson Montgomery,SS,Southridge HS,HS
2021,23,1,Cleveland Guardians,Gavin Williams,P,East Carolina University,College
2021,24,1,Atlanta Braves,Ryan Cusick,P,Wake Forest University,College
2021,25,1,Athletics,Max Muncy,SS,Thousand Oaks HS,HS
2021,26,1,Minnesota Twins,Chase Petty,P,Mainland Regional HS,HS
2021,27,1,San Diego Padres,Jackson Merrill,SS,Severna Park HS,HS
2021,28,1,Tampa Bay Rays,Carson Williams,SS,Torrey Pines HS,HS
2021,29,1,Los Angeles Dodgers,Maddux Bruns,P,UMS-Wright Prep,HS
2021,30,1,Cincinnati Reds,Jay Allen,OF,John Carroll Catholic HS,HS
2021,31,1,Miami Marlins,Joe Mack,C,Williamsville East HS,HS
2021,32,1,Detroit Tigers,Ty Madden,P,University of Texas at Austin,College
2021,33,1,Milwaukee Brewers,Tyler Black,2B,Wright State University,College
2021,34,1,Tampa Bay Rays,Cooper Kinney,2B,Baylor School,HS
2021,35,1,Cincinnati Reds,Mat Nelson,C,Florida State University,College
2021,36,1,Minnesota Twins,Noah Miller,SS,Ozaukee HS,HS
2022,1,1,Baltimore Orioles,Jackson Holliday,SS,Stillwater HS,HS
2022,2,1,Arizona Diamondbacks,Druw Jones,OF,Wesleyan School,HS
2022,3,1,Texas Rangers,Kumar Rocker,P,,
2022,4,1,Pittsburgh Pirates,Termarr Johnson,SS,Benjamin E. Mays HS,HS
2022,5,1,Washington Nationals,Elijah Green,OF,IMG Academy,HS
2022,6,1,Miami Marlins,Jacob Berry,3B,Louisiana State University,College
2022,7,1,Chicago Cubs,Cade Horton,P,University of Oklahoma,College
2022,8,1,Minnesota Twins,Brooks Lee,SS,"California Polytechnic State University, San Luis Obispo",College
2022,9,1,Kansas City Royals,Gavin Cross,OF,Virginia Polytechnic Institute and State University,College
2022,10,1,Colorado Rockies,Gabriel Hughes,P,Gonzaga University,College
2022,11,1,New York Mets,Kevin Parada,C,Georgia Institute of Technology,College
2022,12,1,Detroit Tigers,Jace Jung,2B,Texas Tech University,College
2022,13,1,Los Angeles Angels,Zach Neto,SS,Campbell University,College
2022,14,1,New York Mets,Jett Williams,SS,Rockwall-Heath HS,HS
2022,15,1,San Diego Padres,Dylan Lesko,P,Buford HS,HS
2022,16,1,Cleveland Guardians,Chase DeLauter,OF,James Madison University,College
2022,17,1,Philadelphia Phillies,Justin Crawford,OF,Bishop Gorman HS,HS
2022,18,1,Cincinnati Reds,Cam Collier,3B,Chipola College,JUCO
2022,19,1,Athletics,Daniel Susac,C,University of Arizona,College
2022,20,1,Atlanta Braves,Owen Murphy,P,Riverside-Brookfield HS,HS
2022,21,1,Seattle Mariners,Cole Young,SS,North Allegheny HS,HS
2022,22,1,St. Louis Cardinals,Cooper Hjerpe,P,Oregon State University,College
